year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
2012;Shinya;Yamanaka;M;1962;;Japan;za objav možnosti preprogramovania zrelých buniek na bunky kmeňové;for the discovery that mature cells can be reprogrammed to become pluripotent
2013;James E.;Rothmann;M;1950;;United States;za objavy v oblasti transportných bunkových procesov;for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells
2013;Randy W.;Schekman;M;1948;;United States;za objavy v oblasti transportných bunkových procesov;for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells
2013;Thomas;Südhof;M;1955;;United States;za objavy v oblasti transportných bunkových procesov;for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells
2014;John;O’Keefe;M;1939;;United Kingdom;za objavenie buniek, ktoré v mozgu vytvárajú systém určovania polohy;for their discoveries of cells that constitute a positioning system in the brain
2014;May-Britt;Moser;F;1963;;Norway;za objavenie buniek, ktoré v mozgu vytvárajú systém určovania polohy;for their discoveries of cells that constitute a positioning system in the brain
2014;Edvard I.;Moser;M;1962;;Norway;za objavenie buniek, ktoré v mozgu vytvárajú systém určovania polohy;for their discoveries of cells that constitute a positioning system in the brain
2015;William C.;Campbell;M;1930;;United States;za vývoj lieku proti chorobám spôsobeným parazitickými hlístovcami (ivermektin)/za vývoj zatiaľ najúčinnejšieho lieku proti malárii (artemisin);for their discoveries concerning a novel therapy against infections caused by roundworm parasites
2015;Satoshi;Ōmura;M;1935;;Japan;za vývoj lieku proti chorobám spôsobeným parazitickými hlístovcami (ivermektin)/za vývoj zatiaľ najúčinnejšieho lieku proti malárii (artemisin);for their discoveries concerning a novel therapy against infections caused by roundworm parasites
2015;Tu;Youyou;F;1930;;China;za vývoj lieku proti chorobám spôsobeným parazitickými hlístovcami (ivermektin)/za vývoj zatiaľ najúčinnejšieho lieku proti malárii (artemisin);for her discoveries concerning a novel therapy against malaria
2016;Yoshinori;Ohsumi;M;1945;;Japan;za objavy mechanizmov autofágie;for his discoveries of mechanisms for autophagy
2017;Jeffrey C.;Hall;M;1945;;United States;za ich objav molekulárneho mechanizmu ovládajúceho cirkadiánny rytmus;for their discoveries of molecular mechanisms controlling the circadian rhythm
2017;Michael;Rosbash;M;1944;;United States;za ich objav molekulárneho mechanizmu ovládajúceho cirkadiánny rytmus;for their discoveries of molecular mechanisms controlling the circadian rhythm
2017;Michael W.;Young;M;1949;;United States;za ich objav molekulárneho mechanizmu ovládajúceho cirkadiánny rytmus;for their discoveries of molecular mechanisms controlling the circadian rhythm
2018;James P.;Allison;M;1948;;United States;za ich objav liečby rakoviny pomocou inhibície negatívnej imunitnej regulácie;for their discovery of cancer therapy by inhibition of negative immune regulation
2018;Tasuku;Honjo;M;1942;;Japan;za ich objav liečby rakoviny pomocou inhibície negatívnej imunitnej regulácie;for their discovery of cancer therapy by inhibition of negative immune regulation
2019;William G.;Kaelin;M;1957;;United States;za objav mechanizmu, akým bunky zaznamenávajú a prispôsobujú sa zmenám v dodávkach kyslíka;for their discoveries of how cells sense and adapt to oxygen availability
2019;Peter J.;Ratcliffe;M;1954;;United Kingdom;za objav mechanizmu, akým bunky zaznamenávajú a prispôsobujú sa zmenám v dodávkach kyslíka;for their discoveries of how cells sense and adapt to oxygen availability
2019;Gregg L.;Semenza;M;1956;;United States;za objav mechanizmu, akým bunky zaznamenávajú a prispôsobujú sa zmenám v dodávkach kyslíka;for their discoveries of how cells sense and adapt to oxygen availability
2020;Harvey J.;Alter;M;1935;;United States;za objav vírusu hepatitídy C;for the discovery of Hepatitis C virus
2020;Michael;Houghton;M;1949;;United Kingdom;za objav vírusu hepatitídy C;for the discovery of Hepatitis C virus
2020;Charles M.;Rice;M;1952;;United States;za objav vírusu hepatitídy C;for the discovery of Hepatitis C virus
2021;David;Julius;M;1955;;United States;za objavy teplotných a dotykových receptorov;for the discovery of receptors for temperature and touch
2021;Ardem;Patapoutian;M;1967;;United States;za objavy teplotných a dotykových receptorov;for the discovery of receptors for temperature and touch
2022;Svante;Pääbo;M;1955;;Sweden;za objavy v oblasti genómov vyhynutých hominínov a ľudskej evolúcie;for his discoveries concerning the genomes of extinct hominins and human evolution
2023;Katalin;Karikó;F;1955;;Hungary,United States;za objavy týkajúce sa modifikácii nukleozidových báz, ktoré umožnili vývoj účinných mRNA vakcín proti COVIDu-19;for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19
2023;Drew;Weissman;M;1959;;United States;za objavy týkajúce sa modifikácii nukleozidových báz, ktoré umožnili vývoj účinných mRNA vakcín proti COVIDu-20;for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-20
