year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
2002;John Bennett ;Fenn;M;1917;2010;United States;za ich rozvoj metód identifikácie a štrukturálnej analýzy biologických makromolekúl;for the development of methods for identification and structure analyses of biological macromolecules for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
2002;Koichi;Tanaka;M;1959;;Japan;za ich rozvoj metód identifikácie a štrukturálnej analýzy biologických makromolekúl;for the development of methods for identification and structure analyses of biological macromolecules for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
2002;Kurt;Wüthrich;M;1938;;Switzerland;za ich rozvoj metód identifikácie a štrukturálnej analýzy biologických makromolekúl;for the development of methods for identification and structure analyses of biological macromolecules for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution
2003;Peter ;Agre;M;1949;;United States;za objavy týkajúce sa kanálov v bunkových membránach;for discoveries concerning channels in cell membranes  for the discovery of water channels
2003;Roderick;MacKinnon;M;1956;;United States;za objavy týkajúce sa kanálov v bunkových membránach;for discoveries concerning channels in cell membranes for structural and mechanistic studies of ion channels
2004;Aaron;Ciechanover;M;1947;;Israel;za objav proteolýzy sprostredkovanej ubikvitínom;for the discovery of ubiquitin-mediated protein degradation
2004;Avram;Hershko;M;1937;;Israel;za objav proteolýzy sprostredkovanej ubikvitínom;for the discovery of ubiquitin-mediated protein degradation
2004;Irwin;Rose;M;1926;2015;United States;za objav proteolýzy sprostredkovanej ubikvitínom;for the discovery of ubiquitin-mediated protein degradation
2005;Yves;Chauvin;M;1930;2015;France;za objav metódy výmennej reakcie a metódy organickej syntézy;for the development of the metathesis method in organic synthesis
2005;Robert Howard ;Grubbs;M;1942;2021;United States;za objav metódy výmennej reakcie a metódy organickej syntézy;for the development of the metathesis method in organic synthesis
2005;Richard Royce ;Schrock;M;1945;;United States;za objav metódy výmennej reakcie a metódy organickej syntézy;for the development of the metathesis method in organic synthesis
2006;Roger David ;Kornberg;M;1947;;United States;za prácu o tom, ako bunky kopírujú genetické informácie pre telo;for his studies of the molecular basis of eukaryotic transcription
2007;Gerhard;Ertl;M;1936;;Germany;za sériu kľúčových poznatkov o chemických procesoch na povrchoch tuhých látok, najmä rozhraní plyn-tuhá látka;for his studies of chemical processes on solid surfaces
2008;Osamu;Shimomura;M;1928;2018;Japan;za objav zeleného fluorescenčného proteínu (GFP) a ďalší výskum týkajúci sa tohto medzičasom dôležitého nástroja biovedy;for the discovery and development of the green fluorescent protein, GFP
2008;Martin;Chalfie;M;1947;;United States;za objav zeleného fluorescenčného proteínu (GFP) a ďalší výskum týkajúci sa tohto medzičasom dôležitého nástroja biovedy;for the discovery and development of the green fluorescent protein, GFP
2008;Roger Y.;Tsien;M;1952;2016;United States;za objav zeleného fluorescenčného proteínu (GFP) a ďalší výskum týkajúci sa tohto medzičasom dôležitého nástroja biovedy;for the discovery and development of the green fluorescent protein, GFP
2009;Venkatraman ;Ramakrishnan;M;1952;;United States,India,United Kingdom;za štúdium štruktúry a funkcií ribozómov;for studies of the structure and function of the ribosome
2009;Thomas Arthur ;Steitz;M;1940;2018;United States;za štúdium štruktúry a funkcií ribozómov;for studies of the structure and function of the ribosome
2009;Ada E.;Yonath;F;1939;;Israel;za štúdium štruktúry a funkcií ribozómov;for studies of the structure and function of the ribosome
2010;Richard F.;Heck;M;1931;2015;United States;za paládiovú katalýzu párov molekúl;for palladium-catalyzed cross couplings in organic synthesis
2010;Ei-ichi;Negishi;M;1935;2021;Japan;za paládiovú katalýzu párov molekúl;for palladium-catalyzed cross couplings in organic synthesis
2010;Akira;Suzuki;M;1930;;Japan;za paládiovú katalýzu párov molekúl;for palladium-catalyzed cross couplings in organic synthesis
2011;Dan;Shechtman;M;1941;;Israel,United States;za objav kvázikryštálov;for the discovery of quasicrystals
2012;Robert;Lefkowitz;M;1943;;United States;za výskum receptorov spriahnutých s G-proteínmi;for studies of G-protein-coupled receptors
2012;Brian;Kobilka;M;1955;;United States;za výskum receptorov spriahnutých s G-proteínmi;for studies of G-protein-coupled receptors
2013;Martin;Karplus;M;1930;;United States,Austria;za rozvoj viacškálových modelov zložitých chemických systémov;for the development of multiscale models for complex chemical systems
2013;Michael;Levitt;M;1947;;United States,United Kingdom,Israel;za rozvoj viacškálových modelov zložitých chemických systémov;for the development of multiscale models for complex chemical systems
2013;Arieh;Warshel;M;1940;;United States,Israel;za rozvoj viacškálových modelov zložitých chemických systémov;for the development of multiscale models for complex chemical systems
2014;Eric;Betzig;M;1960;;United States;za vývoj super-rezolučnej fluorescenčnej mikroskopie;for the development of super-resolved fluorescence microscopy
2014;Stefan W.;Hell;M;1962;;Germany,Romania;za vývoj super-rezolučnej fluorescenčnej mikroskopie;for the development of super-resolved fluorescence microscopy
2014;William E. ;Moerner;M;1953;;United States;za vývoj super-rezolučnej fluorescenčnej mikroskopie;for the development of super-resolved fluorescence microscopy
2015;Tomas ;Lindahl;M;1938;;Sweden,United Kingdom;za štúdium mechanizmov opravy DNA;for mechanistic studies of DNA repair
2015;Paul L.;Modrich;M;1946;;United States;za štúdium mechanizmov opravy DNA;for mechanistic studies of DNA repair
2015;Aziz;Sancar;M;1946;;United States,Turkey;za štúdium mechanizmov opravy DNA;for mechanistic studies of DNA repair
2016;Jean-Pierre;Sauvage;M;1944;;France;za výskum v obore nanotechnológie;for the design and synthesis of molecular machines
2016;Fraser;Stoddart;M;1942;;United Kingdom,United States;za výskum v obore nanotechnológie;for the design and synthesis of molecular machines
2016;Ben;Feringa;M;1951;;Netherlands;za výskum v obore nanotechnológie;for the design and synthesis of molecular machines
2017;Jacques;Dubochet;M;1942;;Switzerland;za vývoj kryoelektrónovej mikroskopie umožňujúcej skúmať štruktury biomolekúl v roztoku pri vysokom rozlíšení;for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
2017;Joachim;Frank;M;1940;;Germany,United States;za vývoj kryoelektrónovej mikroskopie umožňujúcej skúmať štruktury biomolekúl v roztoku pri vysokom rozlíšení;for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
